Year,Week,Day,Date,Holiday,Kickoff,Type,Time,Hour,AwayPrime,After7,MLBReg,MLBPlay,NHLReg,NHLPlay,NBAReg,NBAPlay,NFL,Away,Home,PctMarket,Away2,Home2,Away3,Home3,AwayPop,HomePop,Market,Round,TV,Rating,Viewers,,
2003,,Sat,1/4/03,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,ATL,GB,,,,,,6162195,2040498,8202693,WC,ABC,16,26319000,,
2003,,Sun,1/5/03,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,CLE,PIT,,,,,,3501538,2360867,5862405,WC,CBS,18.1,27450000,,
2003,,Sun,1/5/03,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,NYG,SF,,,,,,23484225,8469854,31954079,WC,FOX,18.2,29834000,,
2003,,Sat,1/11/03,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,PIT,TEN,,,,,,2360867,1876933,4237800,DIV,CBS,18.1,28514000,,
2003,,Sat,1/11/03,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,ATL,PHI,,,,,,6162195,7146706,13308901,DIV,FOX,14.8,24931000,,
2003,,Sun,1/12/03,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,SF,TB,,,,,,8469854,2783243,11253097,DIV,FOX,18.3,28120000,,
2003,,Sun,1/12/03,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,NYJ,OAK,,,,,,23484225,8469854,31954079,DIV,CBS,22.1,35137000,,
2003,,Sun,1/19/03,0,0,National,3:00 PM,3,5.5,0,0,0,1,0,1,0,0,TB,PHI,,,,,,2783243,7146706,9929949,CC,FOX,23.8,38741000,,
2003,,Sun,1/19/03,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,TEN,OAK,,,,,,1876933,8469854,10346787,CC,CBS,24.6,41456000,,
2003,,Sun,1/26/03,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,TB,OAK,,,,,,2783243,8469854,11253097,SB,ABC,40.7,88637000,,
2002,,Sat,1/12/02,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,TB,PHI,,,,,,2783243,7146706,9929949,WC,ABC,13.1,22116498,,
2002,,Sat,1/12/02,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,NYJ,OAK,,,,,,23484225,8469854,31954079,WC,ABC,13.9,22029000,,
2002,,Sun,1/13/02,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,SF,GB,,,,,,8469854,2040498,10510352,WC,FOX,16.8,28129258,,
2002,,Sun,1/13/02,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,BAL,MIA,,,,,,2770738,6447610,9218348,WC,CBS,16.8,28129258,,
2002,,Sat,1/19/02,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,PHI,CHI,,,,,,7146706,9912730,17059436,DIV,FOX,17.1,26610000,,
2002,,Sat,1/19/02,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,OAK,NE,,,,,,8469854,8041303,16511157,DIV,CBS,17.4,28723000,,
2002,,Sun,1/20/02,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,0,0,0,BAL,PIT,,,,,,2770738,2360867,5131605,DIV,CBS,17.9,27048000,,
2002,,Sun,1/20/02,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,0,0,0,GB,STL,,,,,,2040498,2810056,4850554,DIV,FOX,19.5,30801000,,
2002,,Sun,1/27/02,0,0,National,12:30 PM,0.5,8,0,0,0,1,0,1,0,0,NE,PIT,,,,,,8041303,2360867,10402170,CC,CBS,21.2,33313000,,
