Year,Date,Day,Holiday,Clock,Time,AwayPrime,Window,Past7,NBAPlay,NHLReg,NHLPlay,MLBReg,MLBPlay,NFL,CF,Away,Home,AwayPop,HomePop,Market,Round,Game,WT,LT,Dif,Leverage,TV,Rating,Viewers
2013,2/6/13,Wed,0,0.875,9,0.5,3,1,0,1,0,0,0,0,0,Spurs,Wolves,2277550,3797883,6075433,RS,,,,,,ESPN,,1092000
2014,2/6/14,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Bulls,Warriors,9912730,8469854,18382584,RS,,,,,,TNT,,1450000
2014,2/6/14,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Spurs,Nets,2277550,23484225,25761775,RS,,,,,,TNT,,1390000
2013,2/7/13,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Lakers,Celtics,18351929,8041303,26393232,RS,,,,,,TNT,,2613000
2013,2/7/13,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Bulls,Nuggets,9912730,3277309,13190039,RS,,,,,,TNT,,1320000
2014,2/7/14,Fri,0,0.895833333,9.5,1,3,1,0,1,0,0,0,0,0,Wolves,Pelicans,3797883,1467880,5265763,RS,,,,,,ESPN,,1300000
2014,2/7/14,Fri,0,0.791666667,7,1.5,3,1,0,1,0,0,0,0,0,Blazers,Pacers,3022178,2336237,5358415,RS,,,,,,ESPN,,1280000
2013,2/8/13,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Clippers,Heat,18351929,6447610,24799539,RS,,,,,,ESPN,,1912000
2013,2/8/13,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Bulls,Jazz,9912730,2389225,12301955,RS,,,,,,ESPN,,1478000
2012,2/9/12,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Lakers,Celtics,18351929,8041303,26393232,RS,,,,,,TNT,,3112000
2012,2/9/12,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Thunder,Kings,1390835,2482660,3873495,RS,,,,,,TNT,,1929000
2014,2/9/14,Sun,0,0.645833333,3.5,5,1,0,0,0,0,0,0,0,0,Bulls,Lakers,9912730,18351929,28264659,RS,,,,,,ABC,,3070000
2014,2/9/14,Sun,0,0.541666667,1,7.5,1,0,0,0,0,0,0,0,0,Knicks,Thunder,23484225,1390835,24875060,RS,,,,,,ABC,,2680000
2012,2/10/12,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Lakers,Knicks,18351929,23484225,41836154,RS,,,,,,ESPN,,3002000
2012,2/10/12,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Thunder,Jazz,1390835,2389225,3780060,RS,,,,,,ESPN,,2068000
2013,2/10/13,Sun,0,0.645833333,3.5,5,1,0,0,1,0,0,0,0,0,Lakers,Heat,18351929,6447610,24799539,RS,,,,,,ABC,,6470000
2013,2/10/13,Sun,0,0.541666667,1,7.5,1,0,0,1,0,0,0,0,0,Clippers,Knicks,18351929,23484225,41836154,RS,,,,,,ABC,,3310000
2013,2/10/13,Sun,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Spurs,Nets,2277550,23484225,25761775,RS,,,,,,ESPN,,1344000
2012,2/12/12,Sun,0,0.645833333,3.5,5,1,0,0,1,0,0,0,0,0,Bulls,Celtics,9912730,8041303,17954033,RS,,,,,,ABC,,4069000
