Year,Date,Day,Time,Hour,AwayPrime,After7,Overlap,NHLReg,NHLPlay,NBAReg,NBAPlay,CF,NFL,Soccer,Away1,Home1,Share1,Away2,Home2,Share2,Away3,Home3,Share3,Away4,Home4,Share4,Away5,Home5,Share5,TOTAL,AwayPop,HomePop,Market,Round,Game,WT,LT,DIF,Leverage,TV,Rating,Share,KeyDemo,Viewers
2011,9/3/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,1,0,0,TEX,BOS,0.71,CIN,STL,0.17,CHW,DET,0.11,,,,,,,0.99,6580189.47,6771592.58,13351782.05,RS,,,,,,FOX,1.4,,,2095000
2011,9/10/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,1,0,0,MIN,DET,0.49,OAK,TEX,0.33,CLE,CHW,0.17,,,,,,,0.99,5251275.95,6667131.49,11918407.44,RS,,,,,,FOX,1.1,,,1632000
2011,9/17/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,1,0,0,TB,BOS,0.66,NYM,ATL,0.25,DET,OAK,0.08,,,,,,,0.99,8190764.83,7525397.05,15716161.88,RS,,,,,,FOX,1.5,,,2167000
2011,9/24/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,1,0,0,BOS,NYY,0.87,SEA,TEX,0.12,,,,,,,,,,0.99,7531094.85,21296013.03,28827107.88,RS,,,,,,FOX,1.5,,,2174000
2013,5/12/13,Sun,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,0,LAA,CHI,,,,,,,,,,,,,,,18351929,9912730,28264659,RS,,,,,,ESPN,,,,1500000
2013,5/26/13,Sun,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,0,ATL,NYM,,,,,,,,,,,,,,,6162195,23484225,29646420,RS,,,,,,ESPN,,,,1200000
2013,6/2/13,Sun,8:00 PM,8,0.5,1,0,0,1,0,0,0,0,0,BOS,NY,,,,,,,,,,,,,,,8041303,23484225,31525528,RS,,,,,,ESPN,,,,2300000
2014,6/1/14,Sun,8:00 PM,8,0.5,1,0,0,1,0,0,0,0,0,PIT,LAD,,,,,,,,,,,,,,,2360867,18351929,20712796,RS,,,,,,ESPN,,,,1700000
2014,6/15/14,Sun,8:00 PM,8,0.5,1,0,0,0,0,1,0,0,0,LAA,ATL,,,,,,,,,,,,,,,18351929,6162195,24514124,RS,,,,,,ESPN,,,,1400000
2014,6/16/14,Mon,8:00 PM,8,0.5,1,1,0,1,0,0,0,0,1,NY,STL,,,,,,,,,,,,,,,23484225,2810056,26294281,RS,,,,,,ESPN,,,,1500000
2014,6/22/14,Sun,8:00 PM,8,0.5,1,0,0,0,0,0,0,0,1,TEX,LA,,,,,,,,,,,,,,,7206144,18351929,25558073,RS,,,,,,ESPN,,,,2900000
2013,6/23/14,Sun,8:00 PM,8,0.5,1,0,0,0,0,0,0,0,0,TEX,STL,,,,,,,,,,,,,,,7206144,2810056,10016200,RS,,,,,,ESPN,,,,1000000
2014,6/28/14,Sat,7:15 PM,7.25,1.25,1,1,0,0,0,0,0,0,0,BOS,NY,,,,,,,,,,,,,,,8041303,23484225,31525528,RS,,,,,,Fox,,,,2300000
2012,8/19/14,Sun,8:00 PM,8,0.5,1,0,0,0,0,0,0,0,0,NY,BOS,,,,,,,,,,,,,,,23484225,8041303,31525528,RS,,,,,,ESPN,,,,3100000
